dtg,value
03-06-2011,3.2
03-06-2011,3.2
03-06-2011,3.3
03-06-2011,3.5
03-06-2011,3.7
03-06-2011,4.1
03-06-2011,4.4
03-07-2011,3
03-07-2011,3.1
03-07-2011,3.2
03-07-2011,3.2
03-07-2011,3.2
03-07-2011,3.2
03-07-2011,3.3
03-07-2011,3.3
03-07-2011,3.5
03-07-2011,3.5
03-07-2011,3.6
03-07-2011,3.9
03-07-2011,4.4
03-08-2010,3
03-08-2010,3.1
03-08-2010,3.3
03-08-2010,3.4
03-08-2010,3.4
03-08-2010,3.5
03-08-2010,3.5
03-08-2010,3.7
03-08-2011,3
03-08-2011,3
03-08-2011,3.2
03-08-2011,3.3
03-08-2011,3.4
03-08-2011,3.4
03-08-2011,3.4
03-08-2011,3.5
03-08-2011,3.6
03-08-2011,4.2
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.1
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.2
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.3
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.4
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.5
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.6
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.7
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.8
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,3.9
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.1
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.2
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.3
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.4
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.5
03-09-2010,4.6
03-09-2010,4.6
03-09-2010,4.6
03-09-2010,4.6
03-09-2010,4.6
03-09-2010,4.6
03-09-2010,4.6
03-09-2010,4.7
03-09-2010,4.7
03-09-2010,4.7
03-09-2010,4.7
03-09-2010,4.7
03-09-2010,4.7
03-09-2010,4.8
03-09-2010,4.8
03-09-2010,4.8
03-09-2010,4.8
03-09-2010,4.8
03-09-2010,4.8
03-09-2010,4.9
03-09-2010,5
03-09-2010,5
03-09-2010,5
03-09-2010,5
03-09-2010,5
03-09-2010,5.1
03-09-2010,5.1
03-09-2010,5.1
03-09-2010,5.1
03-09-2010,5.1
03-09-2010,5.2
03-09-2010,5.2
03-09-2010,5.2
03-09-2010,5.3
03-09-2010,5.3
03-09-2010,5.3
03-09-2010,5.4
03-09-2010,5.4
03-09-2010,5.5
03-09-2010,5.5
03-09-2010,5.5
03-09-2010,5.9
03-09-2010,7.1
03-09-2011,3
03-09-2011,3
03-09-2011,3
03-09-2011,3.1
03-09-2011,3.2
03-09-2011,3.2
03-09-2011,3.2
03-09-2011,3.3
03-09-2011,3.4
03-09-2011,3.7
03-09-2011,3.9
03-09-2011,4.3
03-10-2010,3
03-10-2010,3
03-10-2010,3
03-10-2010,3
03-10-2010,3.1
03-10-2010,3.1
03-10-2010,3.2
03-10-2010,3.2
03-10-2010,3.4
03-10-2010,3.4
03-10-2010,3.6
03-10-2010,3.8
03-10-2010,3.8
03-10-2010,4.2
03-10-2011,3
03-10-2011,3
03-10-2011,3
03-10-2011,3.1
03-10-2011,3.1
03-10-2011,3.1
03-10-2011,3.1
03-10-2011,3.1
03-10-2011,3.2
03-10-2011,3.3
03-10-2011,3.5
03-10-2011,3.8
03-10-2011,4.2
03-11-2010,3
03-11-2010,3
03-11-2010,3
03-11-2010,3.1
03-11-2010,3.1
03-11-2010,3.1
03-11-2010,3.1
03-11-2010,3.1
03-11-2010,3.1
03-11-2010,3.1
03-11-2010,3.2
03-11-2010,3.2
